project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P507116|First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO|Active|0.0|2024-12-18 00:00:00+00:00|2027-12-31|Unknown|Unknown|||Republic of Zambia||World Bank
P503941|Zambia Refugee and Host Communities Project - ZRHCP|Active|0.0|2024-09-26 00:00:00+00:00|2028-10-31|Unknown|Unknown|||Republic of Zambia||World Bank
P181711|Second Additional Financing for Scaling-up Shock Responsive Social Protection Project|Active|207.6|2024-07-01 00:00:00+00:00||Unknown|Unknown|||Republic of Zambia||World Bank
P505188|Zambia Health Emergency Preparedness, Response and Resilience Project Using the Multiphase Programmatic Approach|Active|50.0|2024-06-13 00:00:00+00:00|2029-06-30|Unknown|Unknown|||Republic of Zambia||World Bank
P181391|Girls' Education and Women's Empowerment and Livelihoods for Human Capital Project|Active|157.0|2024-03-28 00:00:00+00:00|2028-06-30|Unknown|Unknown|||Republic of Zambia||World Bank
P179380|National Energy Advancement and Transformation Program|Active|100.0|2024-03-14 00:00:00+00:00|2026-12-30|Unknown|Unknown|||Republic of Zambia||World Bank
P180801|Transport Corridors for Economic Resilience (TRACER)|Active|270.0|2024-02-20 00:00:00+00:00|2030-02-27|Rural and Inter-Urban Roads; Trade; ICT Services; Public Administration - Transportation; Other Transportation|Unknown|||Republic of Zambia||World Bank
P181011|Zambia Second Macroeconomic Stability, Growth and Competitiveness DPF|Active|125.0|2023-12-21 00:00:00+00:00|2026-01-15|Banking Institutions; Other Energy and Extractives; Agricultural Extension, Research, and Other Support Activities; Other Industry, Trade and Services; Central Government (Central Agencies)|Environment and Natural Resource Management; Urban and Rural Development; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P179507|Zambia Agribusiness and Trade Project-II (ZATP-II)|Active|170.0|2023-06-16 00:00:00+00:00|2028-12-15|Public Administration - Industry, Trade and Services; Agricultural markets, commercialization and agri-business|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P180337|Green, Resilient and Transformational Tourism Development Project (GREAT-TDP)|Active|100.0|2023-06-09 00:00:00+00:00|2030-12-31|Public Administration - Industry, Trade and Services; Tourism|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P180401|Zambia Education Enhancement Project Second Additional Financing|Active|53.0|2023-03-09 00:00:00+00:00||Secondary Education|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender|||Republic of Zambia||World Bank
P174911|Zambia First Macroeconomic Stability, Growth and Competitiveness DPF|Closed|275.0|2022-10-25 00:00:00+00:00|2023-12-31|Banking Institutions; Other Energy and Extractives; Oil and Gas; Agricultural Extension, Research, and Other Support Activities; Central Government (Central Agencies)|Environment and Natural Resource Management; Urban and Rural Development; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P178372|Zambia Growth Opportunities Program|Active|300.0|2022-07-15 00:00:00+00:00|2026-12-31|Public Administration - Agriculture, Fishing & Forestry; Agricultural markets, commercialization and agri-business; Irrigation and Drainage; Agricultural Extension, Research, and Other Support Activities; Other Agriculture, Fishing and Forestry|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Finance; Private Sector Development|||Republic of Zambia||World Bank
P179095|Scaling-up Shock Responsive Social Protection Project|Active|190.995412|2022-06-28 00:00:00+00:00|2025-12-31|Social Protection; Public Administration - Social Protection|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Social Development and Protection; Finance|||Republic of Zambia||World Bank
P178492|Zambia Devolution Support Program|Active|210.0|2022-06-28 00:00:00+00:00|2028-06-30|Sub-National Government|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Social Development and Protection; Public Sector Management; Economic Policy|||Republic of Zambia||World Bank
P176400|Additional Financing for the Zambia COVID-19 Emergency Response and Health Systems Preparedness Project|Active|24.0|2021-06-28 00:00:00+00:00||Health Facilities and Construction; Public Administration - Health; Health|Environment and Natural Resource Management; Human Development and Gender|||Republic of Zambia||World Bank
P175955|Second Additional Financing for Girls’ Education and Women’s Empowerment and Livelihood Project - COVID 19 Scale-up of Social Cash|Active|105.0|2021-05-17 00:00:00+00:00||Secondary Education; Public Administration - Social Protection|Environment and Natural Resource Management; Human Development and Gender; Social Development and Protection; Public Sector Management; Finance; Private Sector Development|||Republic of Zambia||World Bank
P174185|Zambia COVID-19 Emergency Response and Health Systems Preparedness Project|Active|25.0|2020-10-20 00:00:00+00:00|2024-12-31|Public Administration - Health; Health; Health Facilities and Construction|Environment and Natural Resource Management; Human Development and Gender; Social Development and Protection|||Republic of Zambia||World Bank
P172140|Irrigation Development Support Project - Additional Financing|Active|30.0|2020-05-29 00:00:00+00:00||Public Administration - Agriculture, Fishing & Forestry; Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P170513|Zambia Education Enhancement Project|Active|120.0|2020-05-21 00:00:00+00:00||Early Childhood Education; Primary Education; Public Administration - Education; Secondary Education|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender|||Republic of Zambia||World Bank
P169975|Additional Financing for Girls' Education and Women's Empowerment and Livelihood Project (GEWEL)|Active|177.0|2020-03-27 00:00:00+00:00||Public Administration - Social Protection; Public Administration - Education; Social Protection|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Social Development and Protection|||Republic of Zambia||World Bank
P164764|Transforming Landscapes for Resilience and Development in Zambia|Active|100.0|2019-05-15 00:00:00+00:00|2025-12-31|Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; Forestry; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Finance|||Republic of Zambia||World Bank
P163958|Second Scaling Solar Guarantee|Closed|2.8|2017-12-20 00:00:00+00:00|2019-12-31|Renewable Energy Solar|Environment and Natural Resource Management; Finance; Private Sector Development|||Republic of Zambia||World Bank
P158570|Zambia Education Enhancement Project|Active|180.0|2017-08-29 00:00:00+00:00|2025-12-31|Public Administration - Education; Primary Education; Secondary Education|Environment and Natural Resource Management; Human Development and Gender; Social Development and Protection|||Republic of Zambia||World Bank
P161490|Zambia Integrated Forest Landscape Project|Closed|17.0|2017-05-04 00:00:00+00:00|2024-02-29|Tourism; Public Administration - Agriculture, Fishing & Forestry; Forestry; Agricultural Extension, Research, and Other Support Activities|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P159330|Zambia: Improved Rural Connectivity Project|Active|200.0|2017-05-04 00:00:00+00:00|2025-12-31|Public Administration - Transportation; Rural and Inter-Urban Roads|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Private Sector Development|||Republic of Zambia||World Bank
P157943|Zambia Scaling Solar Energy Guarantee Project|Closed|3.5|2017-02-16 00:00:00+00:00|2018-10-15|Energy Transmission and Distribution; Renewable Energy Solar|Environment and Natural Resource Management; Private Sector Development|||Republic of Zambia||World Bank
P156492|Zambia Agribusiness and Trade Project|Closed|40.0|2016-12-16 00:00:00+00:00|2024-05-30|Trade; Public Administration - Industry, Trade and Services; Agricultural markets, commercialization and agri-business|Urban and Rural Development; Human Development and Gender; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P151451|Girls Education and Womens Empowerment and Livelihood Project|Active|242.0|2015-05-22 00:00:00+00:00|2024-12-31|Public Administration - Education; Public Administration - Social Protection; Secondary Education; Social Protection|Human Development and Gender; Social Development and Protection; Private Sector Development|||Republic of Zambia||World Bank
P149091|Lusaka Sanitation Project|Closed|65.0|2015-05-22 00:00:00+00:00|2024-04-30|Public Administration - Water, Sanitation and Waste Management; Health; Sanitation|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P144254|Zambia COMACO Landscape Management|Closed|1.33|2015-04-27 00:00:00+00:00|2019-10-31|Livestock; Fisheries; Agricultural markets, commercialization and agri-business; Forestry; Other Agriculture, Fishing and Forestry|Environment and Natural Resource Management; Urban and Rural Development; Private Sector Development|||Republic of Zambia||World Bank
P151680|Zambia Statistical Capacity Building|Closed|0.25|2014-12-23 00:00:00+00:00|2016-09-15|Other Information and Communications Technologies; ICT Services; Public Administration - Information and Communications Technologies; Other Education; Social Protection|Human Development and Gender; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P145335|Health Services Improvement Project|Closed|67.0|2014-03-21 00:00:00+00:00|2020-12-31|Social Protection; Sub-National Government; Public Administration - Health; Central Government (Central Agencies); Health|Human Development and Gender; Social Development and Protection; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P133184|Lusaka Transmission and Distribution Rehabilitation Project|Closed|170.0|2013-05-30 00:00:00+00:00|2022-02-28|Public Administration - Energy and Extractives; Energy Transmission and Distribution|Urban and Rural Development|||Republic of Zambia||World Bank
P131881|Zambia - Extractive Industries Transparency Initiative Implementation Post Compliance I|Closed|0.35|2012-09-10 00:00:00+00:00|2014-12-31|Mining|Public Sector Management|||Republic of Zambia||World Bank
P122123|Zambia: Livestock Development and Animal Health Project|Closed|50.0|2012-02-28 00:00:00+00:00|2018-06-30|Sub-National Government; Agricultural markets, commercialization and agri-business; Livestock; Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities|Environment and Natural Resource Management; Urban and Rural Development; Finance; Private Sector Development|||Republic of Zambia||World Bank
P102459|Irrigation Development and Support Project|Closed|115.0|2011-04-07 00:00:00+00:00|2024-11-30|Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry; Other Agriculture, Fishing and Forestry; Agricultural markets, commercialization and agri-business; Irrigation and Drainage|Environment and Natural Resource Management; Urban and Rural Development; Finance; Private Sector Development|||Republic of Zambia||World Bank
