project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P076778|Mngt. of Miombo Woodland Ecosystem(MMWE)|Closed|0.747|2002-05-14 00:00:00+00:00|2008-05-31|Crops; Other Agriculture, Fishing and Forestry|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P057167|Technical Education Vocational & Entrepreneurship Training (TEVET) Development Program Support Project|Closed|55.5|2001-06-14 00:00:00+00:00|2008-12-30|Health; Central Government (Central Agencies); Workforce Development and Vocational Education|Human Development and Gender; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P070122|Regional Trade Facilitation Project - Zambia|Closed|15.0|2001-04-03 00:00:00+00:00|2013-06-30|Insurance and Pension|Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P073321|Supplemental Credit Project to the Fiscal Sustainability Credit Project|Closed|30.4|2000-12-22 00:00:00+00:00||Oil and Gas; Power; Banking Institutions; Public Administration - Social Protection; Central Government (Central Agencies)|Social Development and Protection; Public Sector Management|||Republic of Zambia||World Bank
P073830|Supplemental Fiscal Sustainability Credit Project|Closed|2.1|2000-11-20 00:00:00+00:00||Oil and Gas; Power; Banking Institutions; Public Administration - Social Protection; Central Government (Central Agencies)|Social Development and Protection; Public Sector Management|||Republic of Zambia||World Bank
P003227|ZAMBIA RAILWAYS RESTRUCTURING PROJECT|Closed|27.0|2000-11-16 00:00:00+00:00|2005-06-30|Central Government (Central Agencies); Railways; Social Protection|Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P039016|Fiscal Sustainability Credit|Closed|140.0|2000-06-27 00:00:00+00:00|2002-06-30|Renewable Energy Biomass; Banking Institutions; Central Government (Central Agencies); Oil and Gas; Public Administration - Social Protection|Human Development and Gender; Public Sector Management; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P064064|Mine Township Services Project|Closed|37.7|2000-06-20 00:00:00+00:00|2005-12-31|Health; Waste Management; Sewerage; Water Supply|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P063584|Social Investment Fund (ZAMSIF)|Closed|64.7|2000-05-25 00:00:00+00:00|2005-12-31|Other Water Supply, Sanitation and Waste Management; Health; Roads and highways; Other Education; Sub-National Government|Urban and Rural Development; Human Development and Gender; Social Development and Protection; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P003249|Basic Education Subsector Investment Program|Closed|40.0|1999-04-08 00:00:00+00:00|2006-06-30|Health; Tertiary Education; Sub-National Government; Central Government (Central Agencies); Primary Education|Urban and Rural Development; Human Development and Gender|||Republic of Zambia||World Bank
P035641|Public Sector Reform and Export Promotion Credit Project|Closed|170.0|1999-01-26 00:00:00+00:00|2000-12-31|Social Protection; Other Industry, Trade and Services; Trade; Renewable Energy Biomass; Central Government (Central Agencies)|Human Development and Gender; Public Sector Management; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P035076|Power Rehabilitation Project|Closed|184.45|1998-02-19 00:00:00+00:00|2005-12-31|Health; Other Agriculture, Fishing and Forestry; Water Supply; Roads and highways; Power|Environment and Natural Resource Management; Urban and Rural Development; Finance; Private Sector Development|||Republic of Zambia||World Bank
P003236|Roads Sector Investment Program Support Project|Closed|185.5|1997-10-14 00:00:00+00:00|2005-03-31|Other Transportation; Workforce Development and Vocational Education; Central Government (Central Agencies); Roads and highways|Environment and Natural Resource Management; Urban and Rural Development; Social Development and Protection; Private Sector Development|||Republic of Zambia||World Bank
